Date,Machine_ID,Problem_Type,Service_Status,Cost,Hours
2023-11-16,MCH-1294,Calibration Issue,Pending,38533.2,5
2025-05-27,MCH-2708,Overheating,In Progress,26916.51,5
2024-02-07,MCH-6246,Overheating,Completed,3221.34,5
2023-02-23,MCH-7364,Sensor Error,Completed,8805.85,6
2024-04-22,MCH-5367,Mechanical Jam,Pending,3191.97,7
2023-03-28,MCH-1823,Calibration Issue,Completed,26343.66,3
2020-11-24,MCH-3906,Software Crash,Cancelled,32618.46,1
2021-02-11,MCH-2440,Sensor Error,In Progress,1102.9,3
2021-06-08,MCH-6070,Wear and Tear,Completed,26069.24,11
2021-05-29,MCH-3097,Wear and Tear,In Progress,6068.71,9
2020-12-01,MCH-8953,Wear and Tear,Pending,45453.79,10
2023-06-24,MCH-5006,Software Crash,Pending,9974.3,7
2025-08-31,MCH-4334,Calibration Issue,Completed,47280.61,6
2023-12-29,MCH-6053,Calibration Issue,In Progress,5012.84,10
2023-03-12,MCH-3561,Software Crash,Cancelled,24838.5,10
2025-10-28,MCH-9592,Overheating,Completed,42206.33,6
2021-12-29,MCH-6161,Software Crash,Cancelled,46774.25,9
2022-05-24,MCH-4064,Calibration Issue,In Progress,1284.5,1
2025-10-14,MCH-8625,Calibration Issue,Cancelled,15233.43,3
2021-11-02,MCH-1960,Calibration Issue,Cancelled,17760.11,11
2023-08-24,MCH-5157,Software Crash,Cancelled,18063.91,12
2025-10-20,MCH-6859,Leakage,In Progress,12639.24,10
2022-06-20,MCH-3013,Overheating,In Progress,42996.36,5
2024-01-04,MCH-4019,Software Crash,Cancelled,11801.43,6
2025-04-13,MCH-6955,Software Crash,Cancelled,37826.52,7
2022-03-01,MCH-8536,Power Failure,Cancelled,15168.77,7
2021-04-30,MCH-3188,Leakage,Completed,8546.01,7
2021-10-18,MCH-4947,Overheating,Completed,44510.18,5
2021-02-27,MCH-8726,Mechanical Jam,Completed,21001.62,6
2025-05-07,MCH-1896,Wear and Tear,Completed,8813.88,6
2025-05-23,MCH-2159,Power Failure,In Progress,39158.14,11
2024-01-20,MCH-4261,Overheating,In Progress,46502.61,10
2025-05-01,MCH-5390,Sensor Error,Cancelled,32692.0,6
2021-06-05,MCH-8934,Software Crash,Cancelled,40299.61,11
2022-01-26,MCH-4067,Wear and Tear,Completed,24513.15,4
2020-04-06,MCH-8040,Calibration Issue,In Progress,45053.12,8
2022-04-09,MCH-7975,Overheating,Completed,10976.38,12
2021-08-08,MCH-1309,Calibration Issue,Pending,3071.9,7
2021-07-25,MCH-5684,Power Failure,Cancelled,44451.98,10
2022-08-10,MCH-2059,Software Crash,Completed,23465.63,11
2023-12-05,MCH-9020,Sensor Error,Pending,35716.12,9
2024-06-09,MCH-4339,Mechanical Jam,Pending,41285.66,2
2020-11-20,MCH-8926,Mechanical Jam,Pending,30740.26,6
2020-07-12,MCH-3862,Power Failure,Completed,23374.79,7
2025-02-18,MCH-7074,Sensor Error,In Progress,5296.4,12
2023-11-12,MCH-6454,Leakage,Completed,18681.31,10
2025-06-27,MCH-7429,Power Failure,In Progress,41610.74,12
2023-06-14,MCH-5219,Wear and Tear,Cancelled,44533.6,3
2021-06-21,MCH-8382,Calibration Issue,Completed,6142.19,3
2025-07-11,MCH-6239,Power Failure,Completed,33958.24,3
2021-04-06,MCH-5571,Leakage,Cancelled,27183.61,10
2022-12-18,MCH-9462,Sensor Error,Cancelled,43584.01,1
2020-11-08,MCH-1750,Power Failure,Pending,1000.68,11
2023-08-04,MCH-3492,Calibration Issue,In Progress,4689.68,8
2023-08-16,MCH-9161,Leakage,In Progress,21679.07,3
2024-05-24,MCH-3834,Leakage,Pending,4575.46,12
2020-02-02,MCH-3567,Software Crash,In Progress,10608.77,4
2022-08-14,MCH-2727,Software Crash,Completed,10314.99,4
2025-03-19,MCH-2739,Sensor Error,In Progress,36823.14,10
2023-11-15,MCH-9888,Overheating,Cancelled,7680.07,4
2025-07-02,MCH-2986,Wear and Tear,In Progress,9106.37,9
2022-03-02,MCH-8629,Power Failure,Completed,27669.8,4
2022-04-23,MCH-5025,Wear and Tear,Cancelled,1825.38,5
2023-06-10,MCH-2733,Calibration Issue,In Progress,41835.82,8
2022-04-15,MCH-7184,Software Crash,Pending,17411.16,11
2020-12-02,MCH-1918,Sensor Error,Cancelled,24000.62,8
2020-11-26,MCH-7074,Calibration Issue,Completed,18651.06,7
2022-04-08,MCH-7111,Software Crash,In Progress,17762.58,1
2022-05-08,MCH-2521,Sensor Error,Completed,5225.12,4
2024-04-01,MCH-5241,Wear and Tear,Pending,20472.22,4
2020-09-10,MCH-3076,Overheating,Completed,28254.36,8
2025-08-27,MCH-5122,Software Crash,Pending,15159.03,7
2025-10-31,MCH-1893,Sensor Error,Cancelled,29237.17,7
2024-08-01,MCH-6546,Wear and Tear,Pending,9647.6,3
2025-02-15,MCH-6208,Software Crash,Pending,30542.79,4
2021-09-27,MCH-2022,Wear and Tear,Pending,10564.63,3
2020-08-12,MCH-5004,Calibration Issue,Cancelled,24636.87,8
2025-06-05,MCH-1144,Leakage,Pending,48838.0,10
2022-10-09,MCH-1112,Wear and Tear,Cancelled,13036.14,1
2021-12-14,MCH-7138,Power Failure,In Progress,43598.76,3
2025-12-12,MCH-2165,Power Failure,Cancelled,8830.57,10
2025-07-18,MCH-2336,Mechanical Jam,Pending,1107.75,8
2023-01-14,MCH-9641,Overheating,Cancelled,17546.21,7
2024-11-06,MCH-5944,Leakage,Cancelled,12159.16,3
2025-02-14,MCH-4957,Software Crash,Pending,47378.13,3
2025-09-09,MCH-7343,Power Failure,In Progress,47859.71,3
2022-02-26,MCH-8547,Power Failure,Cancelled,37186.34,2
2024-04-05,MCH-9538,Wear and Tear,Cancelled,41513.8,11
2020-07-08,MCH-8063,Calibration Issue,Completed,23776.94,11
2024-07-01,MCH-7880,Software Crash,Completed,11653.5,3
2025-02-18,MCH-7973,Overheating,Pending,31447.3,5
2025-07-02,MCH-1458,Wear and Tear,Cancelled,44639.36,12
2022-04-29,MCH-6153,Sensor Error,In Progress,13035.33,3
2024-05-21,MCH-3535,Sensor Error,Pending,27414.93,12
2023-12-08,MCH-6425,Leakage,Completed,20513.93,5
2021-03-06,MCH-1380,Calibration Issue,Cancelled,43548.86,11
2021-04-20,MCH-7922,Overheating,Cancelled,4261.04,4
2024-08-09,MCH-4266,Software Crash,Completed,44925.05,4
2022-07-03,MCH-9937,Overheating,Pending,22431.29,5
2025-11-25,MCH-3767,Sensor Error,In Progress,33656.26,6
2022-06-03,MCH-8088,Leakage,Pending,39828.04,2
2021-02-22,MCH-1954,Wear and Tear,Completed,11399.63,10
2025-04-14,MCH-9615,Calibration Issue,Completed,26581.79,10
2021-09-07,MCH-6022,Leakage,Cancelled,23869.21,6
2020-08-31,MCH-8009,Overheating,Pending,24083.38,9
2025-04-15,MCH-7500,Mechanical Jam,In Progress,546.82,8
2023-11-02,MCH-7206,Leakage,Pending,41795.51,1
2021-12-09,MCH-3874,Power Failure,Completed,29828.85,7
2025-04-09,MCH-2341,Leakage,Completed,21479.73,7
2020-03-02,MCH-2657,Mechanical Jam,Cancelled,10801.52,1
2023-04-30,MCH-4062,Software Crash,Pending,1493.84,12
2021-06-20,MCH-6029,Mechanical Jam,Completed,19154.8,2
2025-11-02,MCH-5822,Mechanical Jam,In Progress,30154.67,12
2025-06-18,MCH-4918,Software Crash,Completed,33894.3,6
2021-11-13,MCH-6123,Overheating,Cancelled,7648.19,3
2024-05-25,MCH-5440,Wear and Tear,Cancelled,39481.67,12
2022-12-02,MCH-8093,Sensor Error,In Progress,8267.9,12
2020-11-06,MCH-3244,Calibration Issue,Cancelled,15265.31,9
2024-07-31,MCH-2961,Software Crash,In Progress,26803.59,2
2022-01-08,MCH-2708,Leakage,In Progress,39973.85,6
2022-04-11,MCH-5744,Sensor Error,Completed,45932.43,7
2020-08-28,MCH-2466,Power Failure,Completed,37399.16,5
2022-06-10,MCH-8570,Power Failure,Completed,49482.63,10
2024-03-27,MCH-9734,Mechanical Jam,Cancelled,32762.61,3
2023-04-04,MCH-6204,Wear and Tear,Pending,6689.85,4
2022-07-04,MCH-8268,Calibration Issue,Pending,49079.35,12
2023-05-20,MCH-9485,Software Crash,Pending,43836.92,8
2025-05-18,MCH-1794,Wear and Tear,Completed,25438.26,12
2022-07-21,MCH-4384,Power Failure,Completed,16233.04,2
2025-08-08,MCH-5443,Mechanical Jam,Pending,42675.94,9
2020-04-29,MCH-7200,Overheating,Pending,37115.35,3
2022-09-07,MCH-1923,Leakage,Pending,1796.64,10
2020-01-20,MCH-2493,Overheating,In Progress,35215.12,1
2024-12-07,MCH-2763,Overheating,Completed,14418.59,8
2022-01-14,MCH-5072,Calibration Issue,In Progress,35057.64,1
2024-05-10,MCH-5944,Overheating,Cancelled,18168.69,10
2020-08-20,MCH-7254,Software Crash,Cancelled,32727.33,5
2020-06-03,MCH-6222,Sensor Error,In Progress,9476.53,9
2021-04-08,MCH-6210,Power Failure,Pending,22226.21,10
2025-05-19,MCH-9443,Calibration Issue,In Progress,40789.42,3
2021-12-31,MCH-2852,Leakage,Completed,25823.99,6
2024-09-09,MCH-1560,Calibration Issue,Cancelled,14845.55,12
2022-12-05,MCH-4370,Software Crash,In Progress,32107.39,9
2023-04-16,MCH-1858,Leakage,Cancelled,28979.05,5
2021-05-14,MCH-6166,Wear and Tear,Pending,20131.9,12
2024-04-09,MCH-5249,Calibration Issue,Pending,28809.78,12
2021-08-31,MCH-5838,Overheating,Completed,3606.5,9
2022-05-24,MCH-9439,Wear and Tear,In Progress,36004.41,11
2024-10-26,MCH-9985,Overheating,Completed,8328.63,11
2021-06-18,MCH-2661,Calibration Issue,In Progress,15000.27,9
2020-09-16,MCH-3285,Leakage,Pending,32239.86,8
2024-04-06,MCH-9191,Calibration Issue,Completed,13962.38,9
2023-04-08,MCH-5429,Software Crash,Pending,17038.73,4
2022-02-16,MCH-9533,Overheating,In Progress,14725.51,7
2022-01-17,MCH-9518,Power Failure,Completed,19059.75,5
2022-06-20,MCH-6611,Leakage,Pending,23558.52,2
2020-01-31,MCH-1627,Software Crash,Cancelled,40795.26,1
2024-05-17,MCH-7554,Sensor Error,Cancelled,886.82,1
2021-07-20,MCH-9300,Leakage,Pending,26841.06,9
2022-11-23,MCH-7304,Overheating,In Progress,46714.33,3
2024-06-28,MCH-2450,Calibration Issue,Pending,33856.29,4
2020-07-11,MCH-8533,Calibration Issue,Cancelled,35986.37,2
2022-01-06,MCH-3942,Calibration Issue,Pending,39212.37,7
2020-12-04,MCH-6358,Leakage,Completed,30318.39,9
2020-12-16,MCH-4138,Power Failure,Pending,32026.63,4
2021-03-26,MCH-8305,Calibration Issue,Completed,42787.19,8
2025-08-03,MCH-1196,Sensor Error,In Progress,28470.02,8
2020-03-22,MCH-2931,Overheating,Cancelled,6377.52,9
2021-11-18,MCH-1343,Sensor Error,Completed,18695.65,9
2024-06-20,MCH-5944,Sensor Error,Pending,47141.79,6
2024-02-12,MCH-5937,Sensor Error,Cancelled,32200.36,6
2022-04-23,MCH-3979,Calibration Issue,Cancelled,39835.7,8
2023-05-19,MCH-7216,Mechanical Jam,In Progress,47548.83,12
2023-03-22,MCH-3829,Overheating,Pending,39162.07,4
2023-05-17,MCH-1655,Leakage,Completed,44188.33,11
2022-04-09,MCH-8229,Leakage,Pending,17348.2,4
2025-11-29,MCH-1002,Power Failure,In Progress,45895.24,3
2021-12-23,MCH-1938,Calibration Issue,Pending,2268.25,12
2020-01-12,MCH-3400,Mechanical Jam,Completed,33454.95,9
2025-08-11,MCH-9780,Leakage,In Progress,6859.56,8
2023-01-10,MCH-4330,Sensor Error,In Progress,12330.03,11
2021-10-27,MCH-6900,Sensor Error,Completed,4992.68,9
2024-07-06,MCH-6060,Software Crash,Pending,13496.64,6
2020-05-06,MCH-1930,Calibration Issue,Completed,47056.68,1
2021-09-24,MCH-8904,Mechanical Jam,Completed,19622.14,12
2021-02-15,MCH-1869,Calibration Issue,Completed,38090.49,7
2023-07-31,MCH-7197,Overheating,Cancelled,23402.54,9
2022-02-04,MCH-5085,Calibration Issue,Completed,19647.57,9
2022-09-05,MCH-9689,Power Failure,Cancelled,1116.32,11
2020-08-04,MCH-2268,Mechanical Jam,Pending,30054.37,2
2022-06-27,MCH-6525,Overheating,Cancelled,35995.12,4
2023-02-13,MCH-2285,Overheating,In Progress,37813.45,6
2024-08-18,MCH-7095,Sensor Error,Cancelled,35272.58,9
2025-05-12,MCH-7928,Software Crash,In Progress,7174.9,9
2020-03-19,MCH-1724,Calibration Issue,Completed,21705.34,10
2021-03-15,MCH-5088,Sensor Error,Pending,44336.83,3
2024-04-11,MCH-5069,Power Failure,Completed,39644.01,6
2023-07-12,MCH-7637,Wear and Tear,Pending,11646.65,3
2021-07-25,MCH-7024,Calibration Issue,Completed,3160.96,7
2021-09-29,MCH-9503,Wear and Tear,Cancelled,32515.09,12
2024-09-15,MCH-7571,Mechanical Jam,In Progress,38545.12,3
2023-05-09,MCH-9342,Wear and Tear,Cancelled,30598.09,7
2021-02-06,MCH-6851,Mechanical Jam,Cancelled,20403.39,9
2022-12-20,MCH-2575,Software Crash,Completed,36089.59,7
2025-07-19,MCH-2471,Leakage,Pending,16531.69,5
2020-08-18,MCH-1641,Software Crash,Pending,48271.65,12
2020-02-28,MCH-2746,Overheating,Cancelled,38463.03,4
2023-05-24,MCH-3977,Wear and Tear,In Progress,15203.85,1
2020-09-18,MCH-5780,Leakage,In Progress,36674.11,5
2024-07-05,MCH-6430,Overheating,Cancelled,7790.08,2
2020-09-16,MCH-9905,Mechanical Jam,Cancelled,45960.25,8
2025-09-15,MCH-4594,Software Crash,Pending,11408.09,5
2023-01-17,MCH-2342,Mechanical Jam,Pending,7062.23,11
2024-06-07,MCH-6110,Power Failure,Pending,29110.73,4
2020-09-19,MCH-9006,Sensor Error,Pending,12626.68,6
2022-03-21,MCH-9639,Sensor Error,Cancelled,25095.14,3
2023-06-27,MCH-4157,Power Failure,Completed,46151.88,7
2022-08-01,MCH-8435,Mechanical Jam,Completed,40020.84,8
2021-01-07,MCH-6731,Power Failure,Completed,2988.75,3
2024-01-05,MCH-8935,Sensor Error,Completed,6044.45,1
2024-02-28,MCH-1540,Leakage,Completed,34140.38,11
2021-07-19,MCH-4101,Mechanical Jam,In Progress,28627.0,7
2022-02-05,MCH-6662,Wear and Tear,Pending,5841.14,9
2021-02-27,MCH-8989,Software Crash,Cancelled,23756.79,2
2020-01-29,MCH-8334,Software Crash,In Progress,47242.45,8
2022-04-04,MCH-5040,Sensor Error,Completed,26547.14,7
2023-04-26,MCH-7525,Mechanical Jam,Completed,34948.5,2
2025-08-08,MCH-2046,Sensor Error,Pending,38884.1,7
2022-10-13,MCH-3292,Leakage,In Progress,8422.8,5
2021-10-30,MCH-9862,Sensor Error,Cancelled,9476.06,4
2024-02-14,MCH-1258,Sensor Error,Cancelled,25327.93,12
2021-07-15,MCH-2689,Leakage,In Progress,45837.49,7
2020-08-31,MCH-5991,Wear and Tear,Completed,44253.77,2
2021-09-25,MCH-3262,Overheating,Completed,41385.02,3
2025-01-14,MCH-9082,Calibration Issue,Completed,9873.39,7
2024-11-11,MCH-1803,Mechanical Jam,Cancelled,20611.23,12
2023-12-02,MCH-6194,Mechanical Jam,Completed,8859.71,12
2022-05-11,MCH-1523,Sensor Error,Cancelled,45327.42,10
2021-04-06,MCH-5659,Calibration Issue,Pending,39325.25,4
2022-11-30,MCH-5934,Wear and Tear,Completed,13334.51,1
2025-07-17,MCH-7708,Overheating,In Progress,45713.21,4
2021-05-28,MCH-3782,Leakage,Cancelled,4521.49,8
2024-05-18,MCH-5185,Leakage,Cancelled,44859.91,3
2022-10-17,MCH-3606,Software Crash,Pending,5102.61,2
2024-09-17,MCH-9954,Wear and Tear,In Progress,41144.89,2
2020-04-11,MCH-2846,Leakage,Pending,20535.23,4
2021-03-27,MCH-7240,Leakage,Cancelled,31055.91,6
2023-04-05,MCH-6005,Power Failure,Pending,35472.58,8
2025-01-31,MCH-1764,Power Failure,In Progress,25074.01,12
2022-04-27,MCH-1173,Leakage,Completed,38479.38,9
2021-01-18,MCH-5876,Power Failure,Completed,20411.74,5
2021-02-19,MCH-8624,Overheating,Cancelled,30481.65,7
2021-05-13,MCH-8620,Wear and Tear,Pending,17569.22,2
2020-08-19,MCH-4857,Mechanical Jam,Cancelled,27288.21,9
2024-10-21,MCH-1310,Power Failure,Completed,2447.08,11
2022-01-10,MCH-7681,Leakage,Completed,4957.18,11
2022-04-30,MCH-4652,Calibration Issue,Pending,11428.87,12
2025-12-19,MCH-4297,Calibration Issue,Pending,15944.05,10
2025-05-27,MCH-1306,Calibration Issue,Completed,17018.08,12
2020-01-13,MCH-1958,Power Failure,Pending,3507.47,4
2024-11-07,MCH-6554,Calibration Issue,Cancelled,11382.77,5
2022-02-10,MCH-8907,Overheating,Pending,35641.31,4
2020-05-30,MCH-8640,Wear and Tear,Pending,48702.31,4
2023-09-17,MCH-4907,Mechanical Jam,Pending,6996.81,12
2022-03-13,MCH-6256,Power Failure,Cancelled,14880.34,3
2021-01-29,MCH-4319,Sensor Error,In Progress,46515.41,7
2022-09-21,MCH-8606,Calibration Issue,Cancelled,28358.53,7
2021-05-04,MCH-9434,Power Failure,Cancelled,14405.98,11
2021-04-21,MCH-2396,Overheating,Completed,19995.3,3
2020-09-08,MCH-1728,Overheating,Cancelled,39880.62,4
2025-11-24,MCH-3459,Wear and Tear,Pending,9797.96,4
2024-12-28,MCH-5611,Mechanical Jam,In Progress,6284.89,5
2023-10-04,MCH-7565,Sensor Error,In Progress,15348.18,11
2020-09-18,MCH-6577,Software Crash,In Progress,46389.54,2
2022-02-20,MCH-7637,Software Crash,Pending,6486.06,7
2023-02-10,MCH-4814,Wear and Tear,Completed,8262.83,3
2020-06-03,MCH-8236,Mechanical Jam,Cancelled,13141.28,8
2022-07-13,MCH-1592,Mechanical Jam,Pending,32026.53,10
2021-02-21,MCH-6474,Calibration Issue,Pending,8550.14,11
2022-06-14,MCH-1043,Overheating,In Progress,47494.77,11
2022-07-03,MCH-6840,Software Crash,Cancelled,24906.51,3
2022-08-14,MCH-8640,Mechanical Jam,Cancelled,518.05,12
2024-04-27,MCH-6433,Wear and Tear,Completed,24063.36,4
2022-01-28,MCH-9323,Software Crash,In Progress,2673.59,2
2020-05-03,MCH-6503,Wear and Tear,In Progress,22136.72,5
2025-11-16,MCH-7950,Leakage,Pending,10744.9,8
2020-09-07,MCH-7390,Software Crash,Pending,47489.81,3
2025-04-29,MCH-7229,Power Failure,In Progress,39123.59,3
2025-03-14,MCH-3554,Power Failure,Completed,18307.88,9
2025-04-06,MCH-4381,Software Crash,In Progress,13582.32,10
2023-03-10,MCH-3295,Calibration Issue,In Progress,30673.78,9
2022-07-24,MCH-9867,Sensor Error,Cancelled,22413.57,12
2024-06-29,MCH-6463,Overheating,Pending,44040.85,1
2024-10-21,MCH-7236,Software Crash,In Progress,3288.28,8
2025-08-06,MCH-4884,Calibration Issue,Cancelled,29281.49,7
2021-07-16,MCH-4190,Calibration Issue,Completed,29581.43,3
2024-08-30,MCH-3033,Wear and Tear,In Progress,18578.11,10
2024-03-25,MCH-7191,Leakage,Pending,1190.09,5
2022-06-11,MCH-5835,Calibration Issue,Pending,18934.93,10
2024-07-30,MCH-9291,Power Failure,In Progress,46749.63,12
2020-08-09,MCH-6382,Software Crash,Cancelled,20043.21,11
2024-07-24,MCH-2714,Leakage,Completed,32006.32,10
2020-06-15,MCH-7979,Wear and Tear,In Progress,34455.33,7
2023-08-06,MCH-5658,Mechanical Jam,Pending,3227.75,8
2021-06-26,MCH-9757,Software Crash,Completed,25480.86,2
2021-02-03,MCH-8820,Software Crash,In Progress,47869.74,11
2023-02-02,MCH-2654,Overheating,Pending,37060.52,7
2025-04-29,MCH-1406,Overheating,Completed,44271.57,7
2023-07-07,MCH-1967,Software Crash,Completed,6811.83,1
2023-06-11,MCH-2123,Leakage,Cancelled,2929.79,6
2024-10-02,MCH-3723,Overheating,Cancelled,29638.43,7
2022-01-23,MCH-7974,Power Failure,In Progress,45200.4,1
2024-06-09,MCH-3468,Mechanical Jam,Cancelled,35568.87,10
2020-03-27,MCH-2103,Sensor Error,Completed,28823.62,9
2022-10-20,MCH-1065,Calibration Issue,Pending,33193.96,9
2023-06-16,MCH-8851,Leakage,In Progress,39927.34,6
2023-12-20,MCH-6163,Calibration Issue,Cancelled,27401.49,1
2023-03-12,MCH-1606,Overheating,In Progress,23457.11,11
2023-02-01,MCH-1476,Calibration Issue,Completed,11844.58,5
2021-07-05,MCH-4943,Leakage,In Progress,37381.55,12
2020-10-23,MCH-4751,Mechanical Jam,Completed,6990.44,3
2022-06-26,MCH-1608,Mechanical Jam,In Progress,12716.54,8
2025-01-27,MCH-4865,Software Crash,Pending,49376.88,11
2025-11-20,MCH-9359,Sensor Error,In Progress,42171.53,1
2022-06-14,MCH-5158,Mechanical Jam,Completed,9069.38,10
2020-08-12,MCH-9080,Calibration Issue,Cancelled,11855.75,5
2024-01-12,MCH-4440,Overheating,Pending,9758.34,7
2023-04-17,MCH-4039,Wear and Tear,In Progress,34564.35,7
2020-01-29,MCH-9021,Leakage,In Progress,30608.24,1
2020-06-13,MCH-1376,Sensor Error,Completed,14275.96,1
2020-12-23,MCH-2993,Power Failure,Pending,4711.51,11
2025-06-02,MCH-1253,Leakage,In Progress,8973.62,11
2023-06-08,MCH-2745,Wear and Tear,Cancelled,28147.79,7
2023-06-27,MCH-5356,Overheating,Completed,40909.2,1
2022-06-30,MCH-7198,Power Failure,Completed,37256.69,1
2021-05-10,MCH-5937,Mechanical Jam,Pending,25859.54,12
2025-05-04,MCH-2450,Overheating,In Progress,9543.9,11
2021-08-22,MCH-5199,Overheating,In Progress,45721.64,5
2020-01-30,MCH-3717,Calibration Issue,Completed,20717.98,10
2021-04-19,MCH-3542,Sensor Error,Pending,34629.42,8
2020-11-11,MCH-1296,Leakage,Cancelled,6904.59,7
2023-05-13,MCH-4760,Sensor Error,Completed,22853.45,2
2021-06-08,MCH-5578,Leakage,Pending,29436.6,11
2024-10-20,MCH-2657,Wear and Tear,Completed,33243.08,10
2024-08-20,MCH-1541,Power Failure,In Progress,38450.2,3
2022-04-20,MCH-8343,Wear and Tear,Completed,16243.48,8
2022-04-30,MCH-9890,Wear and Tear,Completed,13815.44,9
2021-08-08,MCH-3005,Calibration Issue,In Progress,687.38,6
2020-06-14,MCH-1322,Software Crash,In Progress,26412.19,3
2021-01-06,MCH-7299,Power Failure,Cancelled,17650.6,1
2024-10-17,MCH-9065,Power Failure,Cancelled,20832.33,12
2023-11-06,MCH-8635,Mechanical Jam,In Progress,41411.8,11
2025-03-10,MCH-1474,Sensor Error,Cancelled,25712.62,9
2022-08-25,MCH-2242,Sensor Error,Completed,31295.88,3
2022-05-22,MCH-4675,Overheating,Pending,7708.29,1
2020-02-14,MCH-8847,Sensor Error,Cancelled,33380.02,6
2023-01-24,MCH-6915,Overheating,In Progress,7152.67,3
2022-04-08,MCH-4939,Overheating,Completed,18035.43,8
2024-03-05,MCH-3066,Calibration Issue,Completed,44990.87,11
2023-09-24,MCH-5855,Power Failure,Pending,20257.46,11
2024-08-08,MCH-4756,Overheating,Pending,19144.12,10
2024-12-13,MCH-2099,Leakage,Completed,28262.77,3
2025-05-09,MCH-7498,Overheating,Cancelled,32808.32,4
2024-07-13,MCH-4590,Calibration Issue,In Progress,49136.42,11
2025-10-03,MCH-5186,Overheating,Cancelled,34042.19,8
2022-05-08,MCH-7738,Wear and Tear,In Progress,17738.63,2
2020-10-30,MCH-5825,Mechanical Jam,Completed,28970.43,4
2024-03-14,MCH-7798,Overheating,Cancelled,34088.59,5
2021-09-03,MCH-5417,Sensor Error,Completed,48161.3,12
2025-06-02,MCH-9498,Calibration Issue,Cancelled,27089.45,5
2024-06-13,MCH-8123,Software Crash,In Progress,1190.64,8
2023-10-07,MCH-4689,Power Failure,Cancelled,45174.97,8
2025-03-11,MCH-2630,Software Crash,Cancelled,19019.52,3
2022-01-14,MCH-2405,Power Failure,Completed,11440.76,1
2023-06-01,MCH-6040,Mechanical Jam,Completed,28399.8,5
2023-11-15,MCH-3010,Software Crash,Completed,14812.37,11
2022-06-08,MCH-5087,Mechanical Jam,Completed,13987.51,4
2023-04-13,MCH-6447,Sensor Error,In Progress,29833.22,7
2021-09-07,MCH-7065,Software Crash,Completed,9508.69,8
2021-01-06,MCH-8189,Sensor Error,Completed,27336.79,7
2022-12-23,MCH-2725,Mechanical Jam,Cancelled,24214.77,10
2022-03-11,MCH-1649,Wear and Tear,Pending,22632.24,12
2025-12-02,MCH-1051,Power Failure,Cancelled,25457.93,8
2025-09-13,MCH-2359,Mechanical Jam,In Progress,47276.66,4
2023-08-18,MCH-7513,Leakage,Cancelled,40712.48,6
2024-02-12,MCH-9524,Wear and Tear,Completed,41179.37,10
2023-10-28,MCH-1981,Sensor Error,In Progress,38305.94,2
2020-03-04,MCH-4843,Overheating,In Progress,41411.91,3
2021-12-19,MCH-8414,Software Crash,Completed,40242.21,3
2020-05-19,MCH-2589,Wear and Tear,Pending,3408.16,12
2024-09-27,MCH-2099,Leakage,In Progress,46399.61,7
2025-04-16,MCH-7781,Sensor Error,Pending,9977.23,11
2025-04-23,MCH-1043,Overheating,Cancelled,20089.8,10
2024-01-12,MCH-5573,Sensor Error,In Progress,26703.03,1
2021-04-28,MCH-1027,Overheating,Completed,21083.35,7
2021-04-25,MCH-9706,Wear and Tear,Cancelled,8395.37,7
2021-11-13,MCH-5086,Software Crash,In Progress,30839.26,10
2025-01-05,MCH-7334,Wear and Tear,Completed,3553.86,4
2021-06-21,MCH-4097,Overheating,In Progress,993.81,11
2024-05-26,MCH-7379,Wear and Tear,Completed,49349.65,2
2020-09-03,MCH-1468,Overheating,Completed,30269.91,1
2025-08-21,MCH-4921,Mechanical Jam,In Progress,14857.17,2
2021-01-18,MCH-8194,Software Crash,Completed,9010.1,10
2021-10-11,MCH-2865,Sensor Error,In Progress,43620.52,10
2024-01-03,MCH-4678,Overheating,Cancelled,41724.41,4
2022-06-30,MCH-3261,Calibration Issue,In Progress,46461.75,2
2021-12-24,MCH-3759,Power Failure,In Progress,11639.78,2
2024-04-15,MCH-4141,Mechanical Jam,Cancelled,2066.2,2
2022-06-28,MCH-7625,Mechanical Jam,In Progress,16078.07,4
2024-07-08,MCH-6923,Mechanical Jam,In Progress,30240.67,9
2025-08-11,MCH-6974,Calibration Issue,Cancelled,25694.21,6
2025-06-14,MCH-4211,Sensor Error,In Progress,13619.93,2
2022-07-09,MCH-8948,Software Crash,Completed,35191.32,12
2024-10-26,MCH-1796,Wear and Tear,Cancelled,3724.95,5
2024-01-23,MCH-6041,Wear and Tear,Cancelled,35324.75,12
2022-11-09,MCH-7825,Mechanical Jam,Completed,47114.88,2
2022-08-25,MCH-7227,Software Crash,In Progress,26536.04,12
2025-07-08,MCH-4400,Power Failure,Completed,46423.34,9
2021-07-04,MCH-2724,Calibration Issue,Cancelled,46316.16,2
2022-11-11,MCH-2532,Software Crash,Cancelled,7032.63,10
2025-10-09,MCH-8370,Calibration Issue,Completed,32070.87,5
2021-03-04,MCH-2628,Leakage,In Progress,39837.86,1
2021-05-03,MCH-3592,Calibration Issue,Completed,3840.4,6
2024-06-12,MCH-5878,Power Failure,In Progress,9422.48,2
2025-02-13,MCH-4428,Sensor Error,In Progress,21703.5,12
2025-06-24,MCH-6905,Wear and Tear,Pending,39673.83,3
2025-12-12,MCH-8449,Leakage,Pending,22938.75,3
2022-09-10,MCH-2094,Mechanical Jam,Pending,36628.88,6
2024-09-18,MCH-2637,Sensor Error,Pending,17569.04,10
2020-11-05,MCH-8559,Sensor Error,Cancelled,30770.2,4
